Contig ID,Size,Pcos_ech1,Pcos_ech2,Pcos1 F ENV RPKM,Pcos2 F ENV RPKM
Pcos_v1_contig_10353,638,5,206,0.174142332,7.259706815
Pcos_v1_contig_10354,1375,2546,1044,41.14439989,17.07144726
Pcos_v1_contig_10355,1831,585,855,7.099414822,10.49905742
Pcos_v1_contig_10356,2888,2148,1423,16.5269274,11.07848188
Pcos_v1_contig_10357,1576,260,511,3.665828691,7.290162808
Pcos_v1_contig_10358,1744,973,245,12.39713672,3.158581913
Pcos_v1_contig_10359,361,293,355,18.03497105,22.11025195
Pcos_v1_contig_1036,1276,10441,3585,181.8220092,63.17002168
Pcos_v1_contig_10360,2431,1963,1614,17.94280643,14.92763859
Pcos_v1_contig_10361,1601,2346,2900,32.56054811,40.72669857
Pcos_v1_contig_10362,1315,1769,1400,29.89214713,23.93728129
Pcos_v1_contig_10363,3457,1618,2464,10.40001987,16.02558398
Pcos_v1_contig_10364,2377,1462,1830,13.66700087,17.30989559
Pcos_v1_contig_10365,365,0,0,0,0
Pcos_v1_contig_10366,1632,850,2292,11.57320917,31.57671877
Pcos_v1_contig_10367,1371,808,1071,13.09570662,17.56404562
Pcos_v1_contig_10368,227,49,23,4.796508893,2.278109102
Pcos_v1_contig_10369,1190,1233,364,23.02348946,6.877442413
