Contig ID,Size,Hbet_ech1,Hbet_ech2,Hbet_ech3,HBET1 RPKM,HBET2 RPKM,HBET3 RPKM
Hbet_v1_contig_10269,1407,832,556,956,10.80710285,14.75085759,53.98498636
Hbet_v1_contig_1027,3146,3087,1938,7281,16.84704147,50.24418293,43.40866516
Hbet_v1_contig_10270,1396,345,312,205,6.112202951,3.188026466,40.49106004
Hbet_v1_contig_10271,1232,942,1621,911,35.98329237,16.05318256,22.96815783
Hbet_v1_contig_10272,220,2,0,10,0,0.986803758,2.782680661
Hbet_v1_contig_10273,1200,803,567,369,12.92201984,6.67572742,14.56784857
Hbet_v1_contig_10274,212,824,535,149,69.0154798,15.25822036,44.8126316
Hbet_v1_contig_10275,1916,228,14,1255,0.199830199,14.22006876,6.425791226
Hbet_v1_contig_10276,3037,212,45,2007,0.405225076,14.34683342,12.85614143
Hbet_v1_contig_10277,2781,2285,577,4944,5.674184,38.59499141,12.62910911
Hbet_v1_contig_10278,1175,1213,709,1214,16.5020143,22.43025937,15.57248619
Hbet_v1_contig_10279,343,8,0,356,0,22.53249863,10.04781787
Hbet_v1_contig_1028,1231,4731,3649,6077,81.06705587,107.1728201,101.0277929
Hbet_v1_contig_10280,322,332,131,304,11.12612704,20.49609792,24.08199826
Hbet_v1_contig_10281,3444,370,521,778,4.137168135,4.904219836,3.732864301
Hbet_v1_contig_10282,1962,265,343,445,4.781054645,4.923959626,3.929182494
Hbet_v1_contig_10283,449,6,12,35,0.730909313,1.692291522,1.413949754
Hbet_v1_contig_10284,1489,73,183,263,3.361127464,3.834551069,3.730728742
Hbet_v1_contig_10285,3295,698,420,879,3.485960502,5.791444936,3.626414835
Hbet_v1_contig_10286,341,1615,2182,912,174.9963368,58.0622598,64.63000244
Hbet_v1_contig_10287,1500,1647,1154,3800,21.03987427,54.99786275,68.67106205
Hbet_v1_contig_10288,1536,896,452,1805,8.047774699,25.51170391,26.73311219
Hbet_v1_contig_10289,659,2159,1372,1200,56.93735486,39.53204734,127.2341751
Hbet_v1_contig_1029,2215,1160,236,2394,2.913847797,23.46409946,12.71364708
Hbet_v1_contig_10290,248,836,464,155,51.16758153,13.56855167,57.87277611
Hbet_v1_contig_10291,4043,2298,3433,3007,23.22194823,16.14667716,18.17036098
Hbet_v1_contig_10292,612,13,43,72,1.921523163,2.554080314,1.444892282
